,Comments,Date,Likes
145,"I started watching a few One fights out of curiosity when browsing UFC stuff... then more One fights... Everyone is different but around the Conor era once that dropped off i've seen a big drop in fights that seems exciting to watch, pulling out old teeth now like Jones and hinting every now and then at super fights isn't going to keep the fans watching long term in my opinion.
I've only been watching UFC since the early spider days so i'm not going to go tooting around too much and i'm sure UFC is fine and dandy but for someone who likes high paced exciting martial arts I feel One fighting has better viewing.
respect everyones thoughts and views, i'm more than confident however there are others who feel ufc has slipped.
I'm glad Mighty Mouse made the transition into the eastern arena, he is better looked after for someone with his skills and what he brings to the world of MMA and his time wont last forever and deserves to be looked after.
on a side note
Nice trade Dana, how'd that work out for you?",2023-05-14T15:30:48Z,1
146,This trade is like trade Lebron to Memphis for Dillon Brookes 😂😂😂,2023-05-14T08:03:04Z,0
147,He is by far the greatest fighter I've ever seen Jon Jones is right behind him but dj is #1,2023-05-14T00:08:01Z,0
148,What makes mighty mouse the biggest failure????,2023-05-13T04:38:34Z,0
149,"Having the video subject say ""Do you know what synthwave is"" from an interview then playing synthwave was kinda slick",2023-05-10T21:48:32Z,0
150,Why didn’t Demetrius just start talking trash for ppv buys and put on a act,2023-05-10T19:51:44Z,0
151,"Dana  never respected dj but im happy where dj is now. 
Dj gets what he deserves.",2023-05-10T05:45:12Z,0
152,He’s getting paid well over than he could’ve imagined,2023-05-09T03:58:07Z,0
153,I don’t comment on videos but this is one of my favorite mma documentary and it deserves the comment.,2023-05-08T22:04:01Z,0
154,He had a good run while under the UFC umbrella. Life goes on.,2023-05-08T06:41:46Z,0
155,Demetrious Johnson is walking proof that nerdy nice guys can still whup your @ss. 💯,2023-05-08T06:13:36Z,0
156,Man this was beautifully done ❤,2023-05-08T01:49:00Z,0
157,This was UFC lost and DJ prove everybody wrong,2023-05-08T01:36:25Z,0
158,I love how you included Moraes's story to give context to him as an opponent in DJ'S story as well as it gave perspective for me as a DJ fan tending to always dismiss the other opponent and feeling down after DJ lost to him the first time they matched up  and wanting for DJ to win on the rematch which he did both times but i got a new appreciation for Moraes now and his life story although tragic it nice to see what it turned out to be.,2023-05-07T21:56:35Z,3
159,One thing one championship is doing better than ufc is MIXED martial arts,2023-05-06T16:27:05Z,1
160,"The reason for his failure is because we didn't support him, because he and his division was boring and weak. Just look at his popular before now. Everyone all of the sudden wants to pretend they supported him when they didn't.",2023-05-03T16:16:46Z,0
161,"Unfortunately for him, people only really care about the heavier weights in mens combat sports now. It shouldnt be that way, but the mumbers here tell the story of preference",2023-05-01T17:05:37Z,0
162,Awesome job posting this. Thanks. One organization changing it up looks great. DJ what a great fighter.,2023-04-30T03:42:42Z,0
163,"ONE Promotion embodies Martial Art's compensation in multiple area's so it's only fitting the most complete ""FIGHTER""of All Time has a home there as well of it's other iconic competitor's of whom most likely would get the same amount of backlash & under valued as ""MIGHTY MOUSE""suffered undeserving in the State's! ✌️& 🙏 4 VIDA REMAIN REAL Oos!",2023-04-29T23:42:32Z,0
164,Davy and goliath,2023-04-28T23:52:11Z,0
165,Cause he's so small...what it would look like in cage with 6'7 400 pounder,2023-04-28T23:51:17Z,0
166,If he would have done this good in old days popularity($) would have went thru the roof,2023-04-28T23:49:20Z,0
167,I wonder how he would have done in old days when all sizes fought each other.,2023-04-28T23:47:38Z,0
168,Mighty mouse,2023-04-28T23:46:16Z,0
169,Onefc will dominate the US in no time at all.,2023-04-28T10:29:44Z,0
170,thanks!,2023-04-27T17:38:28Z,0
171,Love this Video. Well made.,2023-04-26T10:24:22Z,0
172,"I'm 45 years old andive been watching MMA for decades, I got into through kickboxing, I liked boxing but loves kicking and as a kid I thought well theres got to be a sport out here that does both, so I found Muay Thai and fel in love with it and that started my journey of combat sports. Naturally living in America we have wrestling in school that's it so I went after that. Went into the army traveled around and seemingly got more and more exposure into the world of combat sports. So yea it's kinda crazy to see western people (us americans) just sit here and think the UFC is it. There are so so so many other organizations around the world that are packed with extremely talented and skilled exciting fighters. The difference between the UFC and others is other organizations fighters fight because that's wo thy are that's their life, the UFC is lucrative in as how much they pay, it's just such a western capitalistic thing compared to other organizations. The UFC has huge talent don't get me wrong but the last 10 years a lot of fighters are crying about pay. If you decide you want to fight for a living and get into it not making all that much money and yu keep doing it for the love and challenge what changes??? Never understood that,,,, compared to us Norma people professional fighters get paid very well and get a bunch of French benefits us civilians for lack of a better word never see for ourselves so to me some fighters are just a bunch of whiny fucks. DJ is a rare fighter, loves it trains hard fights for his family and money is something he doesn't seem to care about andthat refreshing to see a fighter be like that andnot act like an actor who's butt hurt about having missed out on an extra 50k. You wanna fight and be a fighter or do you wanna be rich? I used to love Connor when he first came on to the scene, he started making money and all that disappeared, nothing wrong with bettering yourself but I just love seeing that hunger in a person and still being humble and ding something thy love and are good at, the second money is involved it ruins al that and that sucks",2023-04-25T10:28:11Z,0
173,The biggest failure is exchanging Ben Askren for Mm,2023-04-24T18:22:17Z,0
174,Dana usually a good guy but made a huge mistake with DJ.  What an amazing story about DJ!,2023-04-23T21:30:39Z,0
175,"Well done bro,best documentary ever seen before!",2023-04-23T15:57:53Z,0
176,"Disrespected? Who says so? Demetrious Johnson is a very decent person who is also a great gamer. UFC sucks. I have stopped watching UFC since stupid White, the far right braggart, has turned into a stupid far right Nazi.",2023-04-23T04:19:17Z,0
177,Came here from DJ’s channel 🐐 a friend of a friend is a friend 🤍,2023-04-22T17:43:56Z,0
178,Great piece!,2023-04-11T03:55:53Z,0
179,The true GOAT 🐐 DJ,2023-04-11T02:16:51Z,0
180,This video gives me a new respect for DJ,2023-04-09T23:33:38Z,0
181,The biggest failure is dana white!!!,2023-04-03T07:11:04Z,0
182,Can't believe they traded him for ben askren,2023-03-30T13:50:59Z,0
183,These are sooo good 👍 I appreciate the work you do.,2023-03-30T04:58:47Z,0
184,"Losing mighty mouse was one of the biggest failures of the UFC. I understand the business side, but still. How do you not put your greatest champion on a hype train like no other",2023-03-29T22:56:07Z,0
185,"""The UFC's Biggest Failure"" This title suggests that Demetrious Johnson is a failure. I don't think so!",2023-03-28T07:19:35Z,0
186,hes a good dude,2023-03-27T22:24:21Z,1
187,"My guy, did you just call him the most dominant ufc champion in history without throwing Bones, or Silva's name in there? It's arguable for sure!",2023-03-27T08:32:16Z,0
188,Imagine being so good that you are boring to watch,2023-03-25T00:13:38Z,2
189,DJ and Jon Jones are the BEST fighters I ever seen ❤,2023-03-24T02:33:26Z,0
190,"Definitely not the greatest.
Jon Jones takes that.",2023-03-23T23:38:14Z,0
191,One is the best fighting league out there UFC is just not it anymore,2023-03-23T05:52:27Z,0
192,"Hope ONE gets more success than ufc one day....
Cant stand the UFC this greedy s**t eating company has more than a couple fighters and their familys DESTROYED for money.
Dana always want to put himself as a normal chilly humble guy but when he slapped his wife a couple weeks ago we saw his true colors 
Gods gonna punish him no worries",2023-03-23T04:10:23Z,0
193,"F the UFC and especially F Dana White.......
What an greedy unrespectable man.
Slapping his wife all day and recruting fighters ONLY for money. Its only about money he doesnt gas about if u the best.
Same stuff with colby.
Ufc isnt the organization with the best fighters its the organization with the best selling fighters. People should realize thst as soon as possible.",2023-03-23T04:06:27Z,0
194,Demetrious Johnson is my favorite fighter.  UFC is the promoter and failed to promote him.  He has the charisma and an exciting fighting style.  A lot of fans don't like the smaller fighters.  He was there key to a partnership with Microsoft and the gaming community.,2023-03-21T04:10:37Z,1
195,DM is the actual world champion the world needs- what a guy,2023-03-19T14:41:36Z,0
196,"With such good content, I am surprised you have lesser than 100k subs. I am loving every one of your documentaries. 💯 respect.",2023-03-19T12:37:34Z,0
197,"DJ can't actually stand the striking of Rodtang. Rodtang is not an MMA fighter, Thais fight on Muay and why did they incepted Rodtang in an MMA where DJ beat him. Rodtang would have annihilated him on a Muay fight.",2023-03-19T03:55:42Z,0
198,"Good job on the video, nice narration and writing.",2023-03-18T02:08:47Z,0
199,This guy can truly produced a great video. This channel should be huge.,2023-03-17T10:38:02Z,0
200,"Leaving the UFC is the best thing that ever happened to DJ. He'll get the love and respect he deserves at One Championship. 
Looking forward to seeing One Championship's debut in the States.",2023-03-17T07:26:51Z,0
201,"He played Rodtang smart, he knew all he had to do was survive until MMA phase but JESUS what an opponent to try that on lmao",2023-03-15T02:42:04Z,0
202,"my favorite fighter of all time
amazing video . everyone in the video seems like great people not just great fighters very humble",2023-03-14T14:32:13Z,0
203,"Yeah lol see in the states we say newborn for fresh born babies not newly-born, which made the rest of your sentence sound slightly off what you were really saying into something completely different, lol it was funny to me tho, i had to comment",2023-03-13T16:53:19Z,0
204,13:40 whats the song name playing in the background?,2023-03-13T16:35:26Z,0
205,man the editing and montaging in your videos is top notch!🤌,2023-03-13T07:27:40Z,0
206,"Way to blew it UFC. Thought tj “dope” dillishaw could erase the flyweight division, beat dj, and be champ champ. Your bullshet plan backfired. One u lost fans anyway and made Cejudo a martyr by busting up TJ. And Tj cheated. But u wanna crap on a natural champ in DJ who defies age? Quantity over quality that’s Dana Whites UFC 🤦‍♂️.",2023-03-13T01:54:46Z,0
207,12:35 this is why I love ONE FC and sports in general.,2023-03-11T14:28:10Z,0
208,"Great content! No documentation of mindless trash talk and soap opera antics to promote a fight, just pure respect and great values from true warriors. This just relegated the UFC to the same category as ""The Housewives Of ...""",2023-03-11T11:06:13Z,2
