,Comments,Date,Likes
233,I love being a Muay Thai boxer,2023-06-23T16:53:28Z,2
234,"Again, this video is amazing. Well done dude!",2023-06-23T16:50:07Z,0
235,"Hey man, loved your documentary. Watched every single minute of it the first time you posted. Hopefully, it can trend up again!",2023-06-23T16:46:21Z,3
236,Thank you for posting this again!!! I was looking for this last night and was sad when I couldn’t find it. I’ve been recommending this video to so many people. ☺️,2023-06-23T16:37:53Z,14
237,"Before watching, I'm excited about this one. You and Napoleon are both producing such good shit lately.",2023-06-23T16:26:15Z,11
238,Thank you so much for bringing this video back! I was so miffed with myself for missing it the first time around. Love your videos. Thank you again!,2023-06-23T16:25:11Z,44
239,People need to talk about this. Good video 👍👍,2023-06-23T16:22:45Z,1
240,Would love to see stamp in the ufc one day,2023-06-23T16:18:42Z,1
241,Incredible video thank you from Canada 🇨🇦,2023-06-23T16:18:29Z,1
242,"Lets gooo!!!! Love your videos man, keep up the great content Mr Academic!!",2023-06-23T16:13:51Z,1
243,Is this a re-upload? I swear I watched this already,2023-06-23T16:09:15Z,3
244,"Man, I love Muay Thai, both as a combat sport and as a martial arts discipline. It has always been my first love, as I trained Muay Thai well before transitioning to an MMA gym. With that said, as a father, seeing small children doing full-contact fighting on a professional level is really frightening. It is the national sport of Thailand, and is absolutely ingrained in their culture, but it's really hard to watch kids as young as 8 taking that kind of damage before their brains have even come close to being fully developed. Great topic, Academic! Admittedly, it's a hard watch, but you'll always get my like and comment. And Rodtang and Stamp are absolutely amazing to see perform, every single time they compete.",2023-06-23T16:06:26Z,309
245,This is a much deeper and darker MMA video than most MMA Channels make. A very good watch so far..,2023-06-23T15:58:30Z,12
246,I fell in love with muay thai but mma is where the money I'd ag I wish muay thai fighters would get more recognition,2023-06-23T15:58:29Z,7
247,"Damn, captivating!",2023-06-23T15:56:54Z,1
248,If you aint first your last - Ricky Bobby,2023-06-23T15:56:28Z,2
